id,journey,ui_element,current_binding,identifier_type_unit,producer_authority,audience,publication_rule,freshness_revision,missing_behavior,update_withdrawal_effect,evidence,qualification,defect
PD-011,REPORT-001,Report reason,Product report sheet single reason selection,Product Store SKU identity plus reason enum,Customer report to platform moderation,Private moderation report,Required authorized recipient and no public accusation from draft,Required submission idempotency and receipt; unverified,Send disabled until one reason selected observed,Changing reason replaces selection; cancellation sends nothing,019-report;020-report-information;021-report-price;022-report-image;023-report-partner;024-report-cancel,Selection and Cancel observed; no submission,
PD-012,STORE-003,Empty search recovery text,Shared No matching products notice in buy_v2_catalogue.dart,Static contextual copy,Buy frontend,Public Buy,Instructions must match controls available in current Store scope,Static versioned application copy,Recommends area despite absent area control,Copy must remain appropriate for fixed Store queries,037-store-empty-search;038-store-categories,Confirmed contextual mismatch,RV6-D001
PD-013,FILTER-003,Sort direction,BuyV2CatalogueQuery sort and draft.sort in buy_v2_views.dart:13533,Sort enum plus complete current query scope,Customer preference interpreted by catalogue provider,Customer browsing state,Required sorting within current eligible catalogue query,Query revision must prevent late responses replacing newer choices,Unapplied draft discarded on Back in tested case,Changes reset visible result page; stale-response isolation still unverified,050-price-ascending;051-filter-retained;054-price-cap-descending,Visible fixture ordering only,
PD-014,FILTER-006,Maximum pack price,BuyV2CatalogueQuery.maximumPrice and draft.maximumPrice,Nullable integer price cap using same monetary unit as listing,Customer filter plus catalogue provider,Customer browsing state,Required apply cap to pack selling price without comparing different units as equal,Bound to full query and offer revision,Any price means no cap; Clear restores default,Required reevaluate when selling price changes; not device-tested,053-pack-price;054-price-cap-descending;060-clear-filters,Cap 100 tested; remaining limits pending,
PD-015,FILTER-008,Pack filter,BuyV2PackFilter and draft.pack in buy_v2_views.dart:13586,Standard or multipack classification tied to actual pack metadata,Supplier pack data with catalogue normalization,Public Buy filter,Required avoid classifying from misleading marketing name alone,Required pack metadata revision,Any pack restores no pack restriction,Required invalidate stale classification when pack changes; unverified,055-pack-size;056-standard-pack;057-multipack,Visible fixture classification only,
PD-016,FILTER-011,Available to order,BuyV2CatalogueQuery.availableOnly and draft.availableOnly,Boolean query flag; eligibility stock and serviceability inputs distinct,Supplier inventory plus platform eligibility and logistics authority,Public Buy,Required actual orderability for current actor area mode and quantity,Required current availability observation and expiry,Unavailable provider must not imply orderable; not device-tested,Required revise listing and cart when availability changes; unverified,059-orderable-filter;412-419,"Toggle observed; excluded unavailable cases not established Closed Pet Family Store and unavailable Beauty Supply fixtures physically reached via declared product routes;Add absent;Check availability unchanged;Change product returns original catalogue. Adapter1587 derives test state from exact seller names,not authoritative supplier workspace data. No live revision or checkout stock-change qualification.",
PD-017,OFFERS-002,Promotion headline and publisher,BuyV2PublishedCatalogueOffer headline publisherType publisherId publisherName,Publication ID plus stable publisher and source IDs,Approved supplier or platform offer publisher,Public Offers,Source isCurrent checks nonblank identity and valid publication window; actual approval authority unverified,observedAt and validUntil required,Missing or expired publication handling still needs device coverage,Required withdraw expired or revised promotion and prevent stale product navigation,062-offers;063-offer-next,Populated isolated review publication only,
PD-018,OFFERS-003,Offer pack price and minimum total,Published offer product.price product.pack product.minimumOrder,INR 580 per 10kg crate; MOQ 2 gives minimum item total 1160,Supplier commercial offer plus platform validation,Public Offers and product,Required exact published SKU and MOQ; does not establish freight or final delivered total,Required offer revision and expiry,Unknown freight must remain separate from item total; full case pending,Required revalidate changed MOQ price and publication before Add or checkout,063-offer-next;064-offer-product,Advertised identity and minimum item arithmetic observed,
PD-019,FILTER-001,Matching result count,Refinement preview totalCount in buy_v2_views.dart near 13502,Integer count for entire exact eligible query,Catalogue query provider,Public Buy,Required scoped count; cannot infer live inventory from review generator,Required count and page share same query generation,Source offers count-unavailable message; not device-tested,Required reject late counts for obsolete query; unverified,048-shop-tools;055-pack-size;058-brand;428;catalogue6916,Large fixture counts displayed; no live catalogue count qualification Store full-list count is products.length labelled available even when all cards closed;RV6-D012. Listed and orderable counts require distinct semantics.,RV6-D012 Store available-count wording
PD-020,COUPON-002,Coupon selection and cart deduction,Buy coupon selection rendered by buy_v2_views.dart near17624,Campaign identifier plus INR300 benefit and minimumINR2500,Campaign owner plus authoritative promotion eligibility service,Customer cart and checkout,Required approved active campaign eligible for exact supplier SKU mode and quantity,Required campaign revision expiry and cart revalidation,Ineligible selection must not reduce total; threshold cases pending,Required withdrawal replacement and changed basket recompute deduction,080-bulk-coupons;081-coupon-selected;083-cart-benefits,Fixture300 deduction observed; live funding eligibility unverified,
PD-021,CHECKOUT-004,Payment offer eligibility,Payment offer feedback in buy_v2_views.dart near16518,Payment method identity plus campaign identity and potential INR150,Payment provider campaign and platform eligibility adapter,Customer payment review,Required provider-specific eligibility; no deduction until authoritative terms permit,Required selected method and campaign revision,Explicit mismatched Paytm versus PhonePe feedback observed,Required invalidate on method change; switch-back still pending,086-payment;087-payment-switch,Method mismatch and exclusion from total observed; live provider unverified,
PD-022,CHECKOUT-006,Shipment delivery estimate,refreshCheckoutDeliveryEstimates action and delivery display near18794,Shipment product quantity destination and estimate status,Logistics quote provider with platform shipment grouping,Customer Confirm order,Required serviceable current quote for exact receiving address and contents,Required quote expiry and context binding,Unavailable and Check delivery feedback observed,Required reject stale quote after address quantity or supplier change,088-confirm-review;089-check-delivery,Unavailable branch observed; successful quote blocked B-004,
PD-023,GST-002,Invoice recipient fields and reuse choice,GST form buy_v2_views.dart near6382 and6444,Legal name GSTIN15characters billing address reuse preference,Customer provides recipient details; tax validation and invoice service authoritative,Private checkout and resulting invoice only,Required consent and valid recipient fields; no public supplier-profile propagation,Temporary reuse disclosure visible; actual process-lifecycle deletion unverified,Empty name and short GSTIN errors observed; invalid data not applied,Required scoped invoice snapshot and actual deletion consistent with disclosure,092-gst-form;093-gst-required;094-gstin-required;095-gst-keyboard-back;096-gst-cancel,Negative validation only; valid details invoice and lifecycle pending,
PD-024,TRACK-002,Delivery order identity status and recorded estimate,Delivery list buy_v2_screen.dart near1552,Order identity seller destination status estimate and delivery mode,Order service and logistics provider; customer controls visible tracker selection,Authenticated buyer and permitted recipient only,Required owner-bound order list; selected identity must remain exact,UI labels last recorded estimate; live freshness not established,Awaiting live confirmation text present on initial selection,Required reject late updates for other order or account; preserve recoverable hidden selection,102-tracking-rail;103-deliveries;104-selected-delivery;105-tracker-hidden;106-tracker-restored,Fixture selection Hide and reopen verified; runtime identity isolation unverified,
PD-025,ORDER-003,Recorded order address versus saved address,Order address sheet buy_v2_views.dart near10156 and10175,Order ID and recipient destination instruction snapshot,Order service snapshots customer-approved checkout details,Private buyer order view,Required immutable historical delivery snapshot; future edits cannot silently change order,Order revision distinct from address-book revision,Missing delivery instruction explicitly disclosed,Future saved-address mutation must not rewrite recorded order; mutation test pending,114-order-address;115-future-addresses,Separation disclosed and linked UI verified; persistence behavior unverified,
PD-026,ADDR-003,Saved address form fields,Shared saved-address editor reached from order-address management,Address ID type name phone street locality six-digit PIN landmark,Customer controls address book; location provider validates geography and serviceability,Private checkout address book,Required account isolation and explicit save; must not publish personal recipient fields,Required revision-bound save and deletion semantics,Blank manual entry rejects recipient street locality; phone PIN cases pending,Required preserve existing order snapshots on update or removal,117-edit-address;118-edit-cancel;120-manual-address;121-address-required,Prefill dismissal and initial validation observed; authoritative validation unresolved,
PD-027,ADDR-005,Address request identity and link,Request-address sheet opened from saved-address picker,Optional recipient name plus provider request/link identity,Address-request service binds requester and recipient with expiry,Intended recipient only through authorized sharing,Required recipient binding access control expiry revocation and explicit recipient consent,Required expiring request version and single authoritative completion,Provider unavailable and expired states not yet exercised,Required completion maps exact request to private address without modifying prior orders,119-request-address,UI entry only; no request creation sharing clipboard or recipient completion qualified,
PD-028,INVOICE-001,Order invoice and downloadable artifact,buy_v2_invoice.dart title near143 and download near602,Order ID line quantity pack unit-price totals and document identity,Authoritative order record and invoice issuer; native export stores approved bytes,Private entitled customer,Required legally issued invoice versus order summary distinction; fixture not legal qualification,Required immutable issuer document revision and checksum,Cancelled save feedback observed; provider-missing invoice cases pending,Required retained historical document and correct cancellation/failure; no mutation of order,132-invoice;134-invoice-save-picker;135-download-cancel,Identity arithmetic picker and cancellation observed; export contents and issuance unverified,
PD-029,ORDERHELP-002,Order Chat delivery context,buy_v2_chat_route_adapter.dart near108 delivery maps order.promise,Order purchase seller IDs and relative stored delivery promise,Order/logistics authority supplies freshness;Buy adapter and shared Chat preserve it,Private order conversation,Required same freshness and unavailable status as tracking,Raw promise currently loses qualifier after failed refresh,Chat shows unqualified12min despite tracking update unavailable,Required invalidate or label stale context after refresh failure or revision,112-tracking-refresh;147-order-chat-context,Confirmed cross-surface freshness defect,RV6-D003
PD-030,RESOLUTION-001,Cancellation eligibility reason and request,Order resolution sheet buy_v2_views.dart near11937,Exact order ID status request type reason and idempotency identity,Customer requests;order service authoritatively accepts/rejects under policy,Private entitled buyer and support,Required current eligibility and explicit submission;selection alone cannot cancel,Required order revision and duplicate-request protection,No reason disables submit;dismissal leaves preparing state,Required preserve original order until authoritative result and reflect rejected/late updates,141-manage-order;142-cancel-order-form;143-cancel-reasons;144-cancel-selected;145-cancel-dismissed,Selection and dismissal observed;request execution unqualified,
PD-031,RESOLUTION-007,Purchased-item return replacement refund eligibility,Order resolution sheet buy_v2_views.dart near11937,Order and purchased-line IDs resolution kind quantity policy validity,Order/returns service with seller policy snapshot and platform rules,Entitled buyer and authorized support,Required authoritative per-line decision;unknown eligibility must not enable claim,Required current decision timestamp policy revision and delivery event,Unavailable reason and disabled rows with Retry observed,Required revalidate on type quantity order-status change and protect duplicate submissions,156-return-eligibility;157-replacement-eligibility;158-refund-eligibility;159-refund-lower;160-eligibility-retry,Unavailable branch and type selection observed;positive request paths B-006,
PD-032,REORDER-001,Reorder product quantities and current cart prices,BuyV2Session reorder behavior in features/buy/buy_v2_session.dart,Historical order-line identities mapped to current supplier SKU pack quantity and price,Historical order authority plus current catalogue commercial availability,Customer cart only until explicit purchase,Required current eligibility and exact pack;preserve old invoice and unrelated cart,Required latest offer revision at new checkout,Unavailable or changed SKU behavior still pending,Required disclose/revalidate current totals;never overwrite historical order,152-delivered-orders;162-reorder,Editable eight-item cart2020 observed versus historical2186;full mapping and merge pending,
PD-033,CART-ROUND11-02,Delivery instruction selection and shipment propagation,features/buy/buy_v2_session.dart:6493-6530 and order construction near11376,Destination plus validated instruction ID;order stores label,Customer preference;fulfilment service must receive order-bound instruction,Customer and authorized fulfiller for correct shipment,Local selection allowed only for valid destination with cart lines;required backend validation at purchase,Persisted customer snapshot;required account isolation and immutable placed-order snapshot,No selection is supported;unknown instruction rejected by session,Selection replaces same destination;source assigns label to each group in destination;backend transmission not verified,168-delivery-tip;169-call-instruction;170-security-instruction;172-door-instruction;173-quiet-instruction;174-instruction-cleared;181-cart-return;182-instruction-restored,Physical selection clearing and checkout Back retention pass;relaunch and fulfilment pending,
PD-034,ACCOUNT-002,Customer display name and profile missing state,journey_session.dart updateProfileDisplayName near463;global_personal_profile_v2.dart,Customer identity plus normalized display name;2-60 chars checked in session,Customer supplied;required authoritative account profile service,Profile owner;public use only according to explicit publication rules,Do not infer recipient name or public review identity from local profile fixture;required authenticated write ownership,Source persists snapshot and rolls back on write failure;remote revision isolation not qualified,Not added visible;invalid whitespace rejected but error clipped,Required propagate profile changes to allowed public surfaces without changing historical recipient/order identity,195-personal-profile;198-blank-name-error;199-name-error-keyboard-back;200-profile-return,Negative validation and unsaved Back verified;valid save/public propagation pending,RV6-D004
PD-035,ACCOUNT-005,App language selection,journey_session.dart updateLanguage near443;global_privacy_preferences_v2.dart;review_journey_services.dart write,Language code en or hi in current selector,Customer preference;platform owns translation coverage and locale application,Current customer interface,Only offer applied/supported language or disclose incomplete coverage;do not promise automatic supplier text translation,Snapshot persistence;required active locale update and relaunch retention,English default;save failure rollback in source;observed Hindi value without translated controls,Update must affect customer navigation/guidance consistently;account/device preference ownership to define for backend,202-language-sheet;203-hindi-selected;204-hindi-return;205-preferences-reopen;206-english-restored,Preference selection and restoration device verified;observed application defect;relaunch pending,RV6-D005
PD-036,ACCOUNT-007,Shared service area preference,global_privacy_preferences_v2.dart ServiceAreaSheet;journey_session.dart updateArea near487,Area mode and label;observed Jodhpur Rajasthan;not an authoritative place ID,Customer preference;location provider and serviceability authority needed for commercial use,Customer interface;do not expose precise location publicly by default,Text label alone must not authorize delivery availability or prices;required mapping to validated geography,Session persists snapshot and rolls back errors;Buy area synchronization not verified,Manual minimum3 validation in source;current/removed modes;only existing-value display observed,Required distinguish personal preference from delivery address and shopping area;withdrawal must clear dependent discovery state safely,208-service-area,Dialog and Back only;save remove location and propagation pending,
PD-037,ACCOUNT-008,Accessibility status and system-settings action,global_privacy_preferences_v2.dart AccessibilityPreference near338,MediaQuery text scale and disableAnimations;Android channel openSettings,Operating system/user controls;app consumes effective MediaQuery values,Current device user,Display actual effective text/motion state;do not claim accessibility from route opening,Build-time MediaQuery;native action timeout5seconds with retry message,Unsupported platforms show instructions;native failure explicit in source,Required redraw on return from setting changes;screenreader fit and reduced-motion behavior need device checks,210-accessibility-settled;211-vision-settings;212-accessibility-back,Native launch and Back pass;accessibility behavior remains pending,
PD-038,ACCOUNT-010,Notification settings and permission state,global_privacy_preferences_v2.dart _openNotifications near295,Application package and OS notification authorization,Device user/OS permission;platform backend owns actual order alert events,Current user only;order alerts must bind authorized order/account,Notification delivery requires permission plus valid event and recipient;opening settings proves neither,OS permission readback needed after changes;event expiry/deduplication required,Observed notifications off;app says Manage in device settings,Required respect disable/withdrawal;no enabled delivery test executed,213-notifications;214-app-info-lower;215-notification-controls;216-notifications-back,Settings route passes;alerts/receipt unverified,
PD-039,ACCOUNT-012,Public privacy policy link/content,global_privacy_preferences_v2.dart fixed https://moolsocial.com/privacy/ and launchUrl externalApplication,Canonical public HTTPS document URL;version/effective date not inspected,Platform privacy-document publisher,All public users,Required accessible current published document;external-app launch is not proof of content availability,Required document version and publication ownership;not established in offline run,Browser reports offline;app handles launch failure separately in source,Required canonical redirect and updated-document behavior;online content/recovery pending,217-privacy-policy;218-privacy-settled;219-privacy-browser-back,Launch and return observed;B-007 content blocked,
PD-040,ACCOUNT-016,Security sign-in requirement and return context,global_security_v2.dart _beginSignIn near190;Buy screen _openBuyProfile near958,Authenticated account state plus exact security route URI,Authentication service owns identity;frontend preserves explicit return/cancel context,Current user;recovery controls require authenticated entitlement,Do not infer signed-in authority from review fixture orders or local profile names,Required session expiry/revocation/account isolation;none qualified by chooser opening,Signed-out boundary visible;settings launch failure handled separately,beginSignIn receives securityLocation for both return and cancel;actual Android cancellation restored Security,221-security;222-signin-boundary;223-signin-back;227-permission-back,First return to Security passes;subsequent Back loses Buy and exits app in controlled device reproduction233-235;full return chain fails,RV6-D006
PD-041,MEDIA-ROUND15-01,Supplier SKU media input and published-file contract,buy_v2_content_contracts.dart BuyV2SupplierMediaPolicy near490;buy_v2_views.dart media surface and gallery,Asset ID revision SKU/variant association MIME decoded dimensions bytes and codec metadata,Supplier supplies files;platform must inspect normalize validate and publish immutable HTTPS revision,Public viewers only after validated publication,Source input: static JPEG PNG WebP <=10MiB each;both sides512..8192 and <=24MP;max10 assets. MP4 H264 Baseline optional AAC-LC <=50MiB <=60s <=30fps long side<=1280 short<=720,Published image normalized metadata:128..2048 each side <=4MP <=10MiB;video normalized plus video limits. Backend byte inspection not implemented/qualified by this audit,Observed category illustration fallback;image renderer contain fit with decode-error fallback;no real supplier-file pass,Require exact SKU/variant immutable revision binding and withdrawal;gallery zoom1..2.5 reset;video/format decoding and cross-variant retention need real device media,239-saved-product-detail;240-hero-tap,Source contract documented only;actual upload bytes normalization supplier fixtures zoom and video still unverified,
PD-042,SAVED-ROUND17-05,Saved bookmark identity count clear and restoration,buy_v2_session.dart _buyV2SavedKey18;savedProductsFor5159;clearSavedProducts5200;restoreSavedProducts5216,Destination plus canonicalId for non-store products;destination plus encoded listing ID for store listings;ownerScope and mutationRevision,Customer owns bookmark intent;catalogue supplier/platform owns current listing content;storage binds customer scope,Personal Saved list;not supplier-owned public popularity evidence,Only matching known catalogue products shown;public listing eligibility remains separately authoritative,Restore rejects disposed sessions changed ownerScope or newer mutation;resolves retained listing IDs and filters valid keys,Unknown toggle shows product not found;restore failure shows could not be restored;withdrawn listing handling requires provider/device qualification,Clear removes destination-prefixed keys only;persists saved and customer state;must not delete cart or other destination bookmarks,258;260-265;source buy_v2_session.dart18/5159-5259,Device confirms isolated Wholesale clear preserves Shop wheat;account switching sign-out storage protection stale listing and cross-device sync not qualified,
PD-043,COLLECTION-ROUND18-01,Store collection benefit eligibility intent and checkout identity,buy_v2_catalogue.dart _showsCollection5919 and callback5634;buy_v2_session.dart beginStoreCollection5917 and collectionCheckoutMessage,ProductId storeId capability validUntil catalogue clock basket identity quote revision,Store controls offered collection capability;platform publishes validated store-bound capability;authenticated customer owns basket;payment/collection service owns result,Public benefit for current supported Store;private checkout for customer,Show only nonstale matching product facts and capability supported for exact store/time;expiry timer reevaluates,Begin revalidates capability;quote must match current basket;stale total requires review;authority must revalidate backend,Unavailable capability reports unavailable;missing identity requests sign-in;missing checkout provider preserves Cart;no valid quote total shown as Check total,Collection intent retained into checkout;Delivery switch restores existing address;withdrawal/expiry and account changes require runtime qualification,268;270-278;source5917-5993,Device passes entry and signed-out boundary only;live provider quote/order/payment/QR/fulfilment and authenticated isolation not qualified,
PD-044,VARIANT-ROUND22-03,Variant choices pack price availability and selected SKU,session.productVariantsFor7477;selectProductVariant8383;views _ProductVariantOption2120;models commerceVariantProducts1121,Same canonicalId and destination;distinct product ID;pack quantity and unit;price INR,Supplier/platform owns canonical product and SKU association price stock and delivery;customer selects exact SKU,Public published eligible options;procurement filters separately enforced,Selector shown only when multiple options exist;current implementation enumerates _catalogueProducts only,Selection resolves current next ID same canonical/destination and procurement gate;refreshes live benefits,Missing/mismatched option shows no longer available;offer facts provide canAdd/status,Selection changes product ID and records recently viewed;cart must keep exact prior SKU unless customer changes it;published/withdrawn paged variants need separate verification,301-304;source7477/8383,Device500ml selection and cart identity pass;2L wholesale variants stale/unavailable options supplier-paged variants media association and retained-cart switching unqualified,
PD-045,ORDER-ROUND25-01,Historical order Items product identity/pack/price/policy versus current catalogue,views9676 productsForOrder;session8882 resolves productIds through findProduct;review-only no-ID fallback takes destination catalogue items;views9754-9765 uses current product title pack price protection,OrderID product/listingID variant pack quantity currency price revision policy revision,Platform order service owns immutable accepted lines;Supplier owns current listing and published policy;customer owns purchase selection,Purchasing account and permitted Store only,Historical view must use accepted order line snapshot;current listing navigation/reorder explicitly current and separate,Purchase-time price quantity pack tax and policy retained;current listing revision must not overwrite purchased terms,Views9710 older-order details unavailable if no products;review fallback is not evidence of historical lines;invoice independently requires order.lines,Withdrawn or repriced SKU preserves history;current product entry may be unavailable without losing order/invoice,322-324;session8882-8910;views9754-9765,Device navigation passes;historical correctness not qualified from catalogue fixture;changed-price/withdrawal cases require authoritative data,Data-contract gap;not yet reproduced price-change defect
PD-046,CART-ROUND26-04..08,Trade receiving instruction options selection and clearing,views17992 destination options and selected ID;18047 chooseDeliveryInstruction;session6494-6532 validates destination/cart and persists customer state,Stable instructionID plus BuyV2Destination;one optional selection per destination,Customer chooses;platform defines supported options;logistics/supplier must receive accepted order snapshot,Purchasing customer;authorized fulfilment participants only after order accepted,Selection available only for supported destination with cart lines;no actual phone call on selecting Call receiving contact,Draft selection updates locally/persists;order-time instruction snapshot must retain acceptance version separately,Invalid ID or no matching cart rejected explicitly;null clears,Option retirement requires explicit draft validation;do not overwrite already accepted order instruction or other destination preference,333-340;session6494-6532,All four Wholesale options and deselection physically tested;downstream transmission/relaunch/account isolation not qualified,None reproduced
PD-047,QTY-ROUND27,Cart quantity editor input minimum validity and total,views16002-16152;session10211-10289 validates then changes exact cart line and persists,ListingID;integer pack count;pack unit;MOQ;price currency;offer revision,Customer requests quantity;Supplier supplies MOQ/availability;platform validates numeric capacity and checkout;prescriber/provider governs medicine cap,Purchasing account and its applicable procurement context,Must retain confirmed listing/pack identity;increments require valid availability/business/prescription facts;comparison beforeSave revalidates offer,Draft input does not change cart until accepted;persist accepted quantity and invalidate affected selections/quotes through session rules,Missing line or stale procurement offer rejected;invalid whole number/below MOQ/capacity/closed/unavailable conditions explicit,Supplier changes require revalidation;do not treat arithmetic capacity as available stock;Back/Cancel preserve prior saved quantity,346-354;session10211-10289;392-397;398-406,"Device empty/decimal/zero rejection valid3 Cancel and Back passed;large input closed supplier stale comparison prescription/relaunch branches remain unverified Redmi30-digit parse rejection and13-digit total-cap rejection with readable copy;cancel preserves1/37 and test line removed397. Exact boundaries and other conditional modes remain unverified. Wholesale10kg tomatoMOQ2 physically checked:Add2,reject1,correct3,total1740;Shop500g stays separate;Allcarts shows Shop0/Wholesale3;minus3to2thenremove. No provider revision or procurement identity qualification.",None reproduced
PD-048,CONF-ROUND28,Purchase confirmation success totals recipient split deliveries invoice and destination,views8739-9024 reads session.confirmed* but no success guard;selectedAddress used for recipient;router2025 and screen546 allow initial confirmation,PurchaseID orderIDs accepted line snapshots quantities currency total paidNow balanceDue delivery revisions,Platform authoritative order acceptance;payment provider authoritative payment facts;logistics delivery promises;customer accepted address snapshot,Purchasing account and authorized Store only,Success only after confirmed acceptance tied to this purchase;route query never authority,Purchase totals/address/splits immutable accepted snapshot;latest delivery update separately timestamped,Missing purchase or order lines must not show success;invoice missing-data gate already separate,Saved-address edits must not change past purchase recipient;changed payment/delivery status must retain exact identity,358-360;views8739;session11231;screen544,False empty confirmation reproduced;valid purchase/split/payment/backend truth remain unqualified,RV6-D009
PD-049,REC-ROUND28,Recovery kind affected product/address return label and optional order help,views9168-9366 recoveryKind/checkoutAvailabilityIssue/canResolveCheckoutAddress;session11542 records origin;retryRecovery restores;retryCheckoutAvailability rereads facts,RecoveryKind listingID orderID destination/cartScope/checkoutScope/category/query/filter origin;fact revision/staleness,Platform routes recovery;Supplier product facts;logistics serviceability;payment provider payment status;customer original selection,Current account and procurement scope only,Show only facts tied to exact failing operation;generic external link does not prove underlying failure,Retry must revalidate current revision;payment-unknown never imply no debit;return uses preserved origin,Generic fallback primary return;affected actions only with required exact item/address/order context,Do not silently substitute product/address/order;retry availability price changes require review;help carries exact order,356-357;views9168-9366;session11542-11628;361-370;371-380;384-391,"Generic network product-return and five generic Shop returns physically checked. Exact MS-240782 order preserved through recovery/help/Back;Help Chat keeps pending live-confirmation copy and unsent exact-order draft. Selected destination changes Orders to Shop: D010. Nine conditional round28 inventory actions remain unverified,not full-module pending count. No actual provider/payment recovery qualified. Service recovery from populated checkout shows exact Work address;chooser cancel and Return to Checkout retain address and basket. Actual provider rejection and changed-address revalidation remain unqualified.",RV6-D010 exact originating destination not preserved
PD-050,CART-ROUND32-03,Optional tip options and fulfilment-scoped total,Router253 default session1891 DisabledTipPolicy;views18109 hides groups without options;session6464-6490 chooses validated group/destination amount and invalidates quote,FulfilmentKey destination currency amount option/policy revision,Platform authorized tip policy;customer opt-in amount;backend settlement authority,Current customer basket and exact fulfilment group,Expose only enabled accepted options;no automatic tip;only amount0 under disabled policy,Revalidate group and destination;reprice checkout after change;server must validate currency/amount/revision,Empty options hides control;unsupported amount rejected,Removed group must not transfer tip to another supplier;payment and refund must use accepted purchase snapshot,cart_contracts353;session6464-6490;views18109;router253,"Source-only disabled feature;enabled choices,persistence,checkout,settlement/refund not physically qualified",No reproduced defect
PD-051,CONTENT-ROUND34-01,Highlights specifications description and missing brand,CatalogueProductContentAdapter1621 synthesizes variant/unitPrice/return highlights;brandLabel/pack/variant specifications;description from same summary;views3877 deduplicates only Shop,ListingID canonicalSKU variant pack units content revision locale structured specification label/value,Supplier approved catalogue content;platform admission and deduplication;manufacturer substantiates brand/specifications,Public eligible listing viewers,Publish admitted exact variant/pack content;do not manufacture distinct specifications from summary;missing brand explicit,Content revision bound to current exact listing;ignore stale/foreign listing result,Unavailable content state remains explicit;illustration not supplier photo;empty distinct sections omitted,Refresh or withdraw exact listing content;historical purchases retain snapshot;no substitution between packs,407-410;content_contracts1621-1662;views3877-3910,Physical repeated default content confirmed;real supplier content revisions and locale remain unqualified,RV6-D011
